"mcg";"gvh";"alm";"mit";"erl";"pox";"vac";"nuc";"SequenceName";"Class";"att11"
"range2 [0.495 - inf]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"END3_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ENO1_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ENO2_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"EPT1_YEAST";"ME3";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ERD1_YEAST";"ME3";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ERD2_YEAST";"ME2";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ERG1_YEAST";"ME3";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"THIL_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"CP51_YEAST";"ME2";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"KIME_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ERG2_YEAST";"ME2";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"FPPS_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ER24_YEAST";"ME3";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ERG3_YEAST";"ME3";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ERG4_YEAST";"ME3";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ERG6_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ERG7_YEAST";"ME2";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ERG8_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"FDFT_YEAST";"ME3";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ERS1_YEAST";"ME2";
"range2 [0.495 - inf]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"ESP1_YEAST";"NUC";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"EST1_YEAST";"NUC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range2 [0.510 - inf]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"EUG1_YEAST";"ERL";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"EXG1_YEAST";"EXC";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range2 [0.510 - inf]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"LCF2_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"FAD1_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"FAS1_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"FAS2_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"COAC_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ALF_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"F16P_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"F26_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"FCY2_YEAST";"ME3";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"FET3_YEAST";"ME3";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"FET4_YEAST";"ME3";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"FHL1_YEAST";"NUC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"FLO1_YEAST";"EXC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range2 [0.250 - inf]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"FOX2_YEAST";"POX";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"THIK_YEAST";"POX";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"FKBP_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"FKB2_YEAST";"ME1";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"FKB3_YEAST";"NUC";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"FPS1_YEAST";"ME3";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"FRE1_YEAST";"ME1";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"YKW0_YEAST";"ME2";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"SYFA_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"SYFB_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"FUMH_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"FU34_YEAST";"ME3";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"FUR1_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"FUR4_YEAST";"ME3";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"FUS1_YEAST";"ME1";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"FUS3_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"FZF1_YEAST";"NUC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"GAC1_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"GAL1_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"GALX_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"GALY_YEAST";"NUC";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"GAL2_YEAST";"ME3";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"GAL4_YEAST";"NUC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"GAL7_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"GAL8_YEAST";"NUC";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"GAP1_YEAST";"ME3";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"GAR1_YEAST";"NUC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"GAS1_YEAST";"ME1";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"GBP2_YEAST";"NUC";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"E2BG_YEAST";"CYT";
"range2 [0.495 - inf]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"IF2G_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"E2BD_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"E2BE_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"E2BB_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"GCN1_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"GCN2_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"E2BA_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"GCN4_YEAST";"NUC";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"GCN5_YEAST";"NUC";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"GCR1_YEAST";"NUC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"GCR2_YEAST";"NUC";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"GCR3_YEAST";"NUC";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"GCS1_YEAST";"NUC";
"range2 [0.495 - inf]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"GCY_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"GDA1_YEAST";"ME2";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"DHE4_YEAST";"CYT";
"range2 [0.495 - inf]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"DHE2_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"GDI1_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"GEF1_YEAST";"ME3";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"GFA1_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"GLGB_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"PP12_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"HXKG_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"GLNA_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"GLN3_YEAST";"NUC";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"SYQ_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"GLO3_YEAST";"NUC";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"GLS1_YEAST";"ME3";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"6PGD_YEAST";"CYT";
"range2 [0.495 - inf]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"GOG5_YEAST";"ME2";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"GBA1_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"GPDA_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"PHSG_YEAST";"CYT";
"range2 [0.495 - inf]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"PMGY_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"PHO2_YEAST";"NUC";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"SYG_YEAST";"CYT";
"range2 [0.495 - inf]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"GSP1_YEAST";"NUC";
