SFH,popUpWidnow,SSLfinal_State,Request_URL,URL_of_Anchor,web_traffic,URL_Length,age_of_domain,having_IP_Address,Result
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Suspicious,Phishy,Phishy,Suspicious,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Legitimate
Phishy,Phishy,Suspicious,Suspicious,Phishy,Legitimate,Phishy,Phishy,Suspicious,Legitimate
Legitimate,Phishy,Legitimate,Phishy,Phishy,Suspicious,Suspicious,Phishy,Suspicious,Legitimate
Legitimate,Suspicious,Phishy,Phishy,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Legitimate
Legitimate,Phishy,Legitimate,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Phishy
Legitimate,Phishy,Suspicious,Phishy,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Legitimate
Phishy,Suspicious,Suspicious,Phishy,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Legitimate
Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Phishy,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,Suspicious
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Phishy,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Legitimate,Legitimate,Phishy,Legitimate,Phishy
Phishy,Suspicious,Suspicious,Phishy,Phishy,Phishy,Phishy,Legitimate,Suspicious,Suspicious
Legitimate,Suspicious,Phishy,Phishy,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Suspicious,Phishy,Phishy,Suspicious,Suspicious,Phishy,Suspicious,Phishy
Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Legitimate,Phishy
Suspicious,Suspicious,Phishy,Suspicious,Suspicious,Suspicious,Suspicious,Phishy,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Legitimate,Suspicious,Phishy
Phishy,Suspicious,Suspicious,Suspicious,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Legitimate
Legitimate,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Legitimate
Legitimate,Suspicious,Phishy,Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Suspicious,Phishy
Phishy,Phishy,Phishy,Phishy,Phishy,Phishy,Phishy,Legitimate,Suspicious,Legitimate
Phishy,Phishy,Suspicious,Suspicious,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Legitimate
Legitimate,Phishy,Suspicious,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Legitimate
Legitimate,Phishy,Suspicious,Phishy,Phishy,Phishy,Phishy,Legitimate,Legitimate,Legitimate
Phishy,Phishy,Suspicious,Phishy,Phishy,Suspicious,Phishy,Phishy,Suspicious,Legitimate
Phishy,Suspicious,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Legitimate
Phishy,Suspicious,Phishy,Phishy,Phishy,Suspicious,Suspicious,Phishy,Suspicious,Legitimate
Phishy,Suspicious,Phishy,Suspicious,Phishy,Phishy,Legitimate,Legitimate,Legitimate,Legitimate
Phishy,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Legitimate,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Phishy,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Suspicious
Phishy,Phishy,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Legitimate
Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Suspicious,Phishy,Phishy,Suspicious,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Legitimate
Phishy,Phishy,Phishy,Suspicious,Phishy,Legitimate,Legitimate,Phishy,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Phishy,Phishy,Legitimate,Suspicious,Suspicious,Legitimate,Phishy,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Phishy
Phishy,Phishy,Legitimate,Phishy,Phishy,Suspicious,Phishy,Legitimate,Suspicious,Legitimate
Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Phishy,Phishy,Legitimate,Suspicious,Phishy
Phishy,Suspicious,Legitimate,Phishy,Phishy,Suspicious,Suspicious,Legitimate,Suspicious,Legitimate
Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Phishy,Phishy,Legitimate,Legitimate,Phishy
Phishy,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Phishy,Legitimate,Suspicious,Legitimate
Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Phishy
Legitimate,Phishy,Legitimate,Suspicious,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Phishy,Suspicious,Legitimate,Phishy,Suspicious,Suspicious,Phishy,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Suspicious,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Phishy,Suspicious,Phishy
Phishy,Suspicious,Legitimate,Suspicious,Phishy,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Phishy,Phishy,Phishy,Phishy,Phishy,Legitimate,Phishy,Phishy,Suspicious,Legitimate
Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Phishy,Suspicious,Suspicious,Suspicious,Phishy,Suspicious,Suspicious,Phishy,Suspicious,Legitimate
Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Legitimate,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Phishy
Phishy,Suspicious,Phishy,Phishy,Phishy,Legitimate,Phishy,Phishy,Suspicious,Legitimate
Legitimate,Phishy,Suspicious,Phishy,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Legitimate
Suspicious,Phishy,Phishy,Suspicious,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Suspicious,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Legitimate,Suspicious,Phishy
Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Legitimate,Suspicious,Suspicious
Phishy,Suspicious,Phishy,Suspicious,Phishy,Phishy,Legitimate,Legitimate,Suspicious,Legitimate
Legitimate,Phishy,Legitimate,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Phishy,Legitimate,Legitimate,Suspicious,Suspicious,Suspicious,Legitimate,Legitimate,Legitimate,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Phishy,Phishy,Suspicious,Phishy,Phishy,Suspicious,Phishy,Phishy,Suspicious,Legitimate
Legitimate,Legitimate,Suspicious,Phishy,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Phishy,Phishy,Phishy,Suspicious,Phishy,Legitimate,Phishy,Phishy,Suspicious,Legitimate
Legitimate,Phishy,Suspicious,Phishy,Suspicious,Legitimate,Phishy,Legitimate,Suspicious,Phishy
Suspicious,Suspicious,Phishy,Suspicious,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Legitimate
Legitimate,Legitimate,Legitimate,Phishy,Phishy,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Phishy,Phishy,Phishy,Suspicious,Phishy,Phishy,Phishy,Legitimate,Suspicious,Legitimate
Legitimate,Phishy,Suspicious,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Phishy,Phishy,Phishy,Phishy,Phishy,Suspicious,Phishy,Legitimate,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Phishy,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Phishy
Phishy,Suspicious,Suspicious,Phishy,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Suspicious
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Suspicious,Legitimate,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Phishy
Suspicious,Phishy,Suspicious,Suspicious,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Legitimate
Phishy,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Legitimate,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Phishy,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Phishy,Suspicious,Suspicious,Phishy,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Legitimate
Phishy,Suspicious,Phishy,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,Phishy
Legitimate,Legitimate,Suspicious,Legitimate,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Legitimate,Suspicious,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Phishy,Legitimate,Phishy
Legitimate,Legitimate,Suspicious,Suspicious,Phishy,Phishy,Legitimate,Legitimate,Legitimate,Phishy
Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Phishy
Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Phishy,Phishy,Legitimate,Legitimate,Phishy
Legitimate,Legitimate,Phishy,Phishy,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Suspicious,Suspicious,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Legitimate
Phishy,Suspicious,Phishy,Suspicious,Phishy,Phishy,Legitimate,Legitimate,Legitimate,Legitimate
Legitimate,Suspicious,Suspicious,Phishy,Phishy,Suspicious,Phishy,Phishy,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Phishy,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Legitimate,Phishy,Phishy,Legitimate,Phishy
Legitimate,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Legitimate,Suspicious,Phishy
Phishy,Phishy,Phishy,Phishy,Legitimate,Suspicious,Phishy,Legitimate,Suspicious,Legitimate
Phishy,Suspicious,Phishy,Legitimate,Phishy,Legitimate,Phishy,Phishy,Suspicious,Legitimate
Suspicious,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Legitimate,Suspicious,Phishy
Suspicious,Suspicious,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Legitimate
Phishy,Suspicious,Phishy,Phishy,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Legitimate
Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Legitimate,Phishy
Legitimate,Phishy,Suspicious,Phishy,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Legitimate,Legitimate,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Phishy,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Suspicious
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Phishy,Phishy,Phishy,Phishy,Phishy,Phishy,Legitimate,Legitimate,Suspicious,Legitimate
Phishy,Suspicious,Legitimate,Suspicious,Suspicious,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Suspicious,Phishy,Suspicious,Suspicious,Suspicious,Phishy,Suspicious,Legitimate,Suspicious,Suspicious
Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Suspicious,Suspicious,Phishy,Suspicious,Phishy,Phishy,Suspicious,Phishy
Suspicious,Phishy,Legitimate,Suspicious,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Suspicious,Phishy,Legitimate,Suspicious,Phishy
Suspicious,Phishy,Legitimate,Suspicious,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,Phishy,Suspicious,Phishy
Legitimate,Phishy,Suspicious,Phishy,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Suspicious,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Legitimate
Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Legitimate,Suspicious,Suspicious
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,Phishy
Phishy,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Phishy,Legitimate,Suspicious,Suspicious
Suspicious,Phishy,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Legitimate,Suspicious,Suspicious
Phishy,Phishy,Phishy,Phishy,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Legitimate
Phishy,Phishy,Phishy,Phishy,Phishy,Suspicious,Phishy,Phishy,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Phishy,Phishy,Phishy,Legitimate,Legitimate,Suspicious,Suspicious
Legitimate,Suspicious,Suspicious,Phishy,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Phishy,Suspicious,Phishy,Phishy,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Phishy,Phishy,Legitimate,Suspicious,Suspicious
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Phishy,Phishy,Legitimate,Legitimate,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Suspicious,Phishy,Phishy,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate
Phishy,Phishy,Phishy,Phishy,Phishy,Legitimate,Suspicious,Legitimate,Suspicious,Legitimate
Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Phishy,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Phishy,Suspicious,Phishy,Phishy,Phishy,Suspicious,Suspicious,Phishy,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Phishy
Phishy,Suspicious,Legitimate,Phishy,Phishy,Suspicious,Suspicious,Phishy,Suspicious,Legitimate
Phishy,Phishy,Suspicious,Phishy,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Suspicious
Phishy,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Legitimate,Suspicious,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Phishy
Suspicious,Phishy,Phishy,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Legitimate
Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Legitimate,Legitimate,Phishy
Legitimate,Phishy,Suspicious,Phishy,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Legitimate,Phishy,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Phishy
Phishy,Phishy,Legitimate,Phishy,Phishy,Suspicious,Phishy,Phishy,Suspicious,Legitimate
Legitimate,Phishy,Suspicious,Suspicious,Phishy,Legitimate,Legitimate,Phishy,Suspicious,Legitimate
Phishy,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Suspicious,Legitimate,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Phishy
Suspicious,Phishy,Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Legitimate
Legitimate,Suspicious,Legitimate,Suspicious,Suspicious,Suspicious,Suspicious,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Phishy,Phishy,Legitimate,Legitimate,Phishy,Suspicious,Suspicious
Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Phishy,Phishy,Suspicious,Phishy,Phishy,Suspicious,Phishy,Phishy,Suspicious,Legitimate
Suspicious,Phishy,Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Legitimate
Legitimate,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Phishy,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Suspicious,Suspicious,Suspicious,Suspicious,Legitimate,Legitimate,Phishy
Phishy,Suspicious,Suspicious,Phishy,Phishy,Legitimate,Suspicious,Phishy,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Suspicious,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Suspicious,Suspicious,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Phishy,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Legitimate,Suspicious,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Suspicious,Phishy,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Legitimate,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Phishy,Legitimate,Legitimate,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Suspicious
Legitimate,Suspicious,Legitimate,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Phishy,Suspicious,Legitimate,Suspicious,Suspicious,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Suspicious,Legitimate,Legitimate,Suspicious,Phishy,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Phishy,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Legitimate,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,Phishy,Legitimate,Suspicious,Phishy
Phishy,Phishy,Legitimate,Phishy,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Phishy,Suspicious,Suspicious,Phishy,Phishy,Legitimate,Phishy,Phishy,Suspicious,Legitimate
Phishy,Suspicious,Phishy,Phishy,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Legitimate
Phishy,Phishy,Suspicious,Phishy,Phishy,Legitimate,Phishy,Legitimate,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Suspicious,Suspicious,Phishy,Suspicious,Legitimate,Suspicious,Phishy
Suspicious,Phishy,Suspicious,Phishy,Phishy,Suspicious,Phishy,Phishy,Suspicious,Legitimate
Phishy,Phishy,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Phishy,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Phishy,Phishy,Legitimate,Legitimate,Phishy,Suspicious,Phishy
Suspicious,Phishy,Phishy,Suspicious,Suspicious,Legitimate,Legitimate,Phishy,Legitimate,Legitimate
Phishy,Phishy,Suspicious,Phishy,Phishy,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Phishy,Suspicious,Phishy
Phishy,Suspicious,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Legitimate,Legitimate,Phishy
Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Suspicious,Legitimate,Suspicious,Phishy
Suspicious,Phishy,Legitimate,Suspicious,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Phishy,Suspicious,Phishy,Phishy,Phishy,Legitimate,Phishy,Phishy,Suspicious,Legitimate
Legitimate,Suspicious,Phishy,Legitimate,Legitimate,Suspicious,Legitimate,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Suspicious,Phishy,Phishy,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Phishy,Legitimate,Legitimate,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Phishy,Phishy,Suspicious,Phishy,Suspicious,Suspicious,Suspicious,Legitimate,Suspicious,Legitimate
Legitimate,Suspicious,Phishy,Legitimate,Phishy,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Phishy,Suspicious,Phishy,Phishy,Phishy,Suspicious,Suspicious,Legitimate,Suspicious,Legitimate
Legitimate,Suspicious,Legitimate,Suspicious,Suspicious,Suspicious,Phishy,Legitimate,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Suspicious,Suspicious,Legitimate,Phishy,Phishy,Suspicious,Phishy
Legitimate,Suspicious,Legitimate,Legitimate,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Phishy
Phishy,Legitimate,Legitimate,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Legitimate,Suspicious
Legitimate,Suspicious,Legitimate,Legitimate,Legitimate,Suspicious,Suspicious,Legitimate,Suspicious,Phishy
Legitimate,Phishy,Suspicious,Suspicious,Phishy,Legitimate,Phishy,Phishy,Suspicious,Phishy
Legitimate,Phishy,Suspicious,Phishy,Legitimate,Phishy,Legitimate,Legitimate,Suspicious,Phishy
Phishy,Suspicious,Suspicious,Phishy,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Suspicious
Phishy,Phishy,Phishy,Phishy,Phishy,Phishy,Suspicious,Legitimate,Suspicious,Legitimate
Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Phishy
Suspicious,Suspicious,Phishy,Suspicious,Suspicious,Legitimate,Suspicious,Phishy,Suspicious,Legitimate
Legitimate,Legitimate,Legitimate,Phishy,Legitimate,Phishy,Suspicious,Legitimate,Suspicious,Phishy
